1962,vaddporing,Anomoporia kamtschatica,svamp,Art,2042,Skog (S) - Stor betydelse,NT,A2c+3c+4c; C1,,Sapro;
257623,,Anopodium ampullaceum,svamp,Art,0,,NE,,,Sapro;;
257624,,Anopodium epile,svamp,Art,0,,NE,,,Sapro;;
65,fläckporing,Anthoporia albobrunnea,svamp,Art,5406,Skog (S) - Stor betydelse,VU,A2c+3c+4c,,Sapro;;
2999,,Anthostomella arenaria,svamp,Art,1,Havsstrand (H) - Stor betydelse,LC,,,Sapro;;
233054,,Anthostomella formosa,svamp,Art,1,Jordbrukslandskap (J) - Stor betydelse,LC,,,Sapro;;
257625,,Anthostomella limitata,svamp,Art,0,,NE,,,Sapro;;
257627,,Anthostomella lugubris,svamp,Art,0,,NE,,,Sapro;;
257629,,Anthostomella punctulata,svamp,Art,1,,NE,,,Sapro;;
257633,,Anthostomella smilacis,svamp,Art,0,,NE,,,Sapro;;
3000,,Anthracobia macrocystis,svamp,Art,33,Skog (S) - Stor betydelse,,,,Sapro;;
3001,,Anthracobia maurilabra,svamp,Art,14,Skog (S) - Stor betydelse,,,,Sapro;;
3002,,Anthracobia melaloma,svamp,Art,18,Skog (S) - Stor betydelse,,,,Sapro;;
3004,tickmussling,Antrodia heteromorpha,svamp,Art,1118,Skog (S) - Stor betydelse,LC,,,Sapro;;
1963,videticka,Antrodia macra,svamp,Art,123,Skog (S) - Stor betydelse,,,,Sapro;;
2040,skinnporing,Antrodia mappa,svamp,Art,3,Skog (S) - Stor betydelse,DD,,,Sapro;;
3003,ormticka,Antrodia serpens,svamp,Art,249,Skog (S) - Stor betydelse,,,,Sapro;;
1965,citronporing,Antrodiella citrinella,svamp,Art,44,Skog (S) - Stor betydelse,CR,C2a(i),,Sapro;;
250060,,Antrodiella faginea,svamp,Art,11,Skog (S) - Stor betydelse,NA,,,Par;;
250060,,Antrodiella faginea,svamp,Art,11,Skog (S) - Stor betydelse,NA,,,Sapro;;
250061,,Antrodiella ichnusana,svamp,Art,2,Skog (S) - Stor betydelse,NA,,,Par;;
250061,,Antrodiella ichnusana,svamp,Art,2,Skog (S) - Stor betydelse,NA,,,Sapro;;
250062,,Antrodiella leucoxantha,svamp,Art,0,Skog (S) - Stor betydelse,NA,,,Par;;
250062,,Antrodiella leucoxantha,svamp,Art,0,Skog (S) - Stor betydelse,NA,,,Sapro;;
3012,kantörsporing,Antrodiella niemelaei,svamp,Art,111,Skog (S) - Stor betydelse,LC,,,Sapro;;
1966,onyxticka,Antrodiella onychoides,svamp,Art,14,Skog (S) - Stor betydelse,,,,Sapro;;
106596,,Antrodiella pallasii,svamp,Art,131,Skog (S) - Stor betydelse,VU,C1,,Sapro;;
3016,glasticka,Antrodiella pallescens,svamp,Art,978,Skog (S) - Stor betydelse,LC,,,Sapro;;
3014,parasitporing,Antrodiella parasitica,svamp,Art,55,Skog (S) - Stor betydelse,VU,C1; D1,,Sapro;
3015,glasporing,Antrodiella romellii,svamp,Art,153,Skog (S) - Stor betydelse,LC,,,Sapro;;
3013,strävticka,Antrodiella serpula,svamp,Art,1264,Skog (S) - Stor betydelse,LC,,,Sapro;;
257634,,Aphanandromyces audisoi,svamp,Art,0,,NE,,,Par;;
257637,,Aphanoascus canadensis,svamp,Art,0,,NE,,,Sapro;;
257638,,Aphanoascus durus,svamp,Art,0,,NE,,,Sapro;;
257639,,Aphanoascus fulvescens,svamp,Art,0,,NE,,,Sapro;;
253691,,Aphanobasidium bourdotii,svamp,Art,0,Skog (S) - Stor betydelse,NE,,,Sapro;;
253797,bräkenlackskinn,Aphanobasidium filicinum,svamp,Art,8,Skog (S) - Stor betydelse,LC,,,Sapro;;
253798,ormbunksskinn,Aphanobasidium gaspesicum,svamp,Art,1,Skog (S) - Stor betydelse,LC,,,Sapro;;
253799,fläcklackskinn,Aphanobasidium pseudotsugae,svamp,Art,51,Skog (S) - Stor betydelse,LC,,,Sapro;;
6005357,,Aphanobasidium subnitens,svamp,Art,0,,NA,,,Sapro;;
816,smultronkantarell,Aphroditeola olida,svamp,Art,183,Skog (S) - Stor betydelse,VU,A2c+3c+4c; C2a(i),,Sapro;
233055,,Apiognomonia alniella,svamp,Art,1,Skog (S) - Stor betydelse,LC,,,Sapro;;
257644,,Apiognomonia borealis,svamp,Art,0,,NE,,,Sapro;;
